AssessmentID;OrganisationName;Assessment;YearOfPublication;BoundaryOfAssessment;Access
286;Municipalidad de Providencia;https://providencia.cl/provi/site/docs/20210408/20210408172154/piep__final.pdf;2021;Same - covers entire jurisdiction and nothing else;public
287;Municipalidad de San Isidro (Lima); ;2022;Same - covers entire jurisdiction and nothing else;public
288;Totoras;PLAC Totoras 2023.pdf;2023;Same - covers entire jurisdiction and nothing else;public
289;Jakarta City Government;https://lingkunganhidup.jakarta.go.id/files/kajian/2021/RPPLH/Laporan-RPPLH-22122021.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Kota-kota di sekitar wilayah DKI Jakarta;public
290;Thua Thien Hue Province;https://docs.google.com/document/d/1VwMhmKTs243QfuY434vnou2XIdZTVumt/edit?usp=sharing&ouid=102301310961403106679&rtpof=true&sd=true;2021;Same - covers entire jurisdiction and nothing else;public
291;City of Buenos Aires;Escenarios futuros CABA 2020 CDP.pdf;2020;Same - covers entire jurisdiction and nothing else;public
292;Bengaluru; ; ; ;public
293;Municipality of Irapuato;http://www.implanirapuato.gob.mx/Atlas/ATLAS%20RIESGOS%20CAP%201-4%20ok.pdf;2013;Same - covers entire jurisdiction and nothing else;public
294;Tiruchirappalli City Municipal Corporation;https://cdn.s3waas.gov.in/s3f73b76ce8949fe29bf2a537cfa420e8f/uploads/2022/07/2022073071.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Including sub-urban area (Local Planning Area);public
295;City of Sagamihara;https://www.city.sagamihara.kanagawa.jp/_res/projects/default_project/_page_/001/008/147/2020/zenppen.pdf;2020;Same - covers entire jurisdiction and nothing else;public
296;City of San Francisco, CA;https://onesanfrancisco.org/heat-and-air-quality-resilience;2023;Same - covers entire jurisdiction and nothing else;public
297;City of Cupertino, CA;https://www.cupertino.org/home/showpublisheddocument/31683/637964240923930000;2022;Same - covers entire jurisdiction and nothing else;public
298;Dharmasraya City;https://drive.google.com/drive/folders/1e3scMHJL1Q6EWI9bakVXYNWgSYCejCDm?usp=sharing;2013;Same - covers entire jurisdiction and nothing else;public
299;Municipality of Murcia;diagnostico-vulnerabilidad_final.pdf;2016;Same - covers entire jurisdiction and nothing else;public
300;Tel Aviv-Yafo Municipality;https://ims.gov.il/sites/default/files/inline-files/%D7%9E%D7%99%D7%A9%D7%95%D7%A8%20%D7%94%D7%97%D7%95%D7%A3_1.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessmant adress all of Israel, Tel Aviv -Yafo is just a part of the wider bounderias;public
301;City of Toronto, ON;https://www.toronto.ca/ext/digital_comm/pdfs/resilience-office/toronto-resilience-strategy.pdf;2019;Same - covers entire jurisdiction and nothing else;public
302;City of Vancouver, BC;https://vancouver.ca/files/cov/climate-change-adaptation-strategy.pdf;2018;Same - covers entire jurisdiction and nothing else;public
303;San Rafael de Heredia;Plan para la PreparaciÃ³n y AtenciÃ³n de Emergencias;2018;Same - covers entire jurisdiction and nothing else;public
304;City of Longmont, CO;https://longmontco.maps.arcgis.com/apps/mapviewer/index.html?webmap=99c33c15d8b64911a010c354f693d472;2021;Same - covers entire jurisdiction and nothing else;public
305;Jambi City;RAD API KOTA JAMBI_compressed.pdf, RADADAPTASIKOTAJAMBIfinal.docx;2016;Same - covers entire jurisdiction and nothing else;public
306;Petaling Jaya City Council;https://www.water.gov.my/jps/resources/PDF/MSMA2ndEdition_august_2012.pdf;2009;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
307;Municipalidad de PeÃ±alolÃ©n;1. DETERMINACIÃ“N DE PELIGRO DE FLUJOS DE DETRITOS EN LA QUEBRADA DE MACUL, CUENCA DE SANTIAGO.pdf;2012;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Zona precordillerana y cordillerana de PeÃ±alolÃ©n. Incluye la principal cuenca de la comuna, abarcando comuna aledaÃ±a;public
308;City of Iida;https://www.city.iida.lg.jp/uploaded/attachment/49514.pdf;2021;Same - covers entire jurisdiction and nothing else;public
309;eThekwini Municipality;https://cff-prod.s3.amazonaws.com/storage/files/GLIp9cdjwPyQy43leOD5V9EDCuKuNPLqyRO9sKyv.pdf;2021;Smaller - covers only part of the jurisdiction, please explain exclusions: The assessment covers a catchment in eThekwini Municipality. A further three catchmments were similarly completed in 2022.;public
310;Copenhagen Municipality;https://international.kk.dk/sites/default/files/2021-09/Copenhagen%20Climate%20Adaptation%20Plan%20-%202011.pdf;2011;Same - covers entire jurisdiction and nothing else;public
311;City of London, ON;https://getinvolved.london.ca/12452/widgets/49288/documents/85827;2022;Same - covers entire jurisdiction and nothing else;public
312;Lancashire County Council (City);2019LancsashireRiskAssessmentSummary.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Report covers neighbouring authorities of Blackburn with Darwen and Blackpool.;public
313;Dobong-gu District of Seoul;ì œ2ì°¨ ë„ë´‰êµ¬ ê¸°í›„ë³€í™” ì ì‘ëŒ€ì±… ì„¸ë¶€ì‹œí–‰ê³„íš(2021~2025).pdf;2022;Same - covers entire jurisdiction and nothing else;public
314;City of San Francisco, CA;https://default.sfplanning.org/plans-and-programs/planning-for-the-city/sea-level-rise/SLRVCA_Report_Full_Report.pdf;2020;Smaller - covers only part of the jurisdiction, please explain exclusions: This assessment only focused on the coastal area that is defined as the SLR vulnerability zone and therefore did not include other areas of the city.;public
315;District of Saanich, BC;https://www2.gov.bc.ca/assets/gov/environment/climate-change/adaptation/prelim-strat-climate-risk-assessment.pdf;2019;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This is a provincial level report.;public
316;City of Manhattan Beach, CA;https://www.citymb.info/home/showpublisheddocument/47057;2021;Same - covers entire jurisdiction and nothing else;public
317;Municipalidad de Colina;"Estrategia HÃ­drica Local ""Estudio HidrolÃ³gico e HidrogeolÃ³gico de la Comuna de Colina""";2023;Same - covers entire jurisdiction and nothing else;public
318;City of Kawasaki;1.1ã€€ãƒ‘ãƒ–ã‚³ãƒ¡ã€€æ„è¦‹å‹Ÿé›†ã®çµæžœã«ã¤ã„ã¦ã€€ï¼µï¼²ï¼¬.txt, 1.1ã€€å·å´ŽåŒºãƒã‚¶ãƒ¼ãƒ‰ãƒžãƒƒãƒ—ï¼ˆå…¨åŒºã‚ã‚Šï¼‰.pdf, 1.1ã€€å·å´Žå¸‚ã®ç½å®³æ¦‚è¦ã®URL.txt, 1.1ã€€å·å´Žå¸‚åœ°åŸŸé˜²ç½è¨ˆç”»ã®URL.txt;2022;Same - covers entire jurisdiction and nothing else;public
319;Municipality of GuaymallÃ©n;PLAN DE ACCION CLIMATICA 2022.pdf;2022;Same - covers entire jurisdiction and nothing else;public
320;Sunderland City Council;climate-change-risk-assessment-2022.pdf;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The UK Climate Change Risk Assessment covers the entire UK.;public
321;Prefeitura de NiterÃ³i;Anexo I - Carta de RMGM Martins Torres.jpg;2022;Smaller - covers only part of the jurisdiction, please explain exclusions: O estudo de avaliaÃ§Ã£o de risco a movimento gravitacionais de massa encontra-se em fase de contrataÃ§Ã£o. A carta se refere a Ã¡reas pontuais elencadas a partir do inventÃ¡rio de ocorrÃªncias da SMDCG e projetos para regularizaÃ§Ã£o fundiÃ¡ria.;public
322;City of Saint Paul, MN;https://www.stpaul.gov/sites/default/files/Media%20Root/Mayor's%20Office/SFCR-%20FINAL.pdf;2016;Same - covers entire jurisdiction and nothing else;public
323;City of Greensboro, NC;https://www.guilfordcountync.gov/home/showpublisheddocument/13952;2023;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers entirety of Guilford County, NC and 10 municipalities therein: Gibsonville, Greensboro, High Point, Jamestown, Oak Ridge, Pleasant Garden, Sedalia, Stokesdale, Summerfield, and Whitsett;public
324;Kinmen County Government;é‡‘é–€ç¸£æ°£å€™è®Šé·èª¿é©è¨ˆç•«_æˆæžœå ±å‘Šæ›¸.pdf, é‡‘é–€ç¸£æ°£å€™è®Šé·èª¿é©è¨ˆç•«_é™„éŒ„.pdf, é‡‘é–€ç¸£æ°£å€™è®Šé·èª¿é©è¨ˆç•«ç¬¬ä¸€æ¬¡å°ˆå®¶å­¸è€…å¹³å°æœƒè­°_è¨Žè«–äº‹é ….pdf, é‡‘é–€ç¸£æ°£å€™è®Šé·èª¿é©è¨ˆç•«ç¬¬äºŒæ¬¡å°ˆå®¶å­¸è€…å¹³å°æœƒè­°_è¨Žè«–äº‹é ….pdf;2014;Same - covers entire jurisdiction and nothing else;public
325;Municipality of Figueira da Foz;https://www.cm-figfoz.pt/cmfigueiradafoz/uploads/writer_file/document/192/estrategia_municipal_de_adptacao_as_alteracoes_climaticas.pdf;2016;Same - covers entire jurisdiction and nothing else;public
326;Udaipur Municipal Corporation;Final_Climate Resilient City Action Plan_Udaipur 21June2019.pdf;2019;Same - covers entire jurisdiction and nothing else;public
327;City of San JosÃ©, CA;https://www.cdph.ca.gov/Programs/OHE/CDPH%20Document%20Library/CHPRs/CHPR085SantaClara_County2-23-17.pdf;2017;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This report covers our entire county.;public
328;City of Vancouver, BC;https://vancouver.ca/files/cov/CFRA-phase-2-final-report-oct-2016-revision.pdf;2016;Same - covers entire jurisdiction and nothing else;public
329;City of Trebinje;https://investintrebinje.com/wp-content/uploads/2022/07/Trebnije-Feasibility-Assessment.pdf;2022;Same - covers entire jurisdiction and nothing else;public
330;Ibarra;PLAN_DE_REDUCCIÃ“N_DE_RIESGOS_DEL_CANTÃ“N_DE_SAN_MIGUEL_DE_IBARRA (2).pdf;2023;Same - covers entire jurisdiction and nothing else;public
331;Ayuntamiento de Zapopan;AnÃ¡lisis de Riesgos y Vulnerabilidades ClimÃ¡ticas Zapopan feb 2022.pdf;2022;Same - covers entire jurisdiction and nothing else;public
332;Town of Ajax, ON;AJAX_Forest Studies Tech Report.pdf;2023;Same - covers entire jurisdiction and nothing else;public
333;City of Orillia, ON;Climate Risk & Vulnerability Assessment - Orillia.pdf;2023;Same - covers entire jurisdiction and nothing else;public
334;City of Las Vegas, NV;https://files.lasvegasnevada.gov/planning/CLV-2050-Master-Plan.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers regional area due to conservation efforts such as renewable energy sources, water conservation, waste and recycling goals;public
335;City of Barcelona;https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap10_risc_sobre_les_infraestructures-internet_20180227.pdf;2018;Same - covers entire jurisdiction and nothing else;public
336;City of Milan;https://partecipazione.comune.milano.it/uploads/decidim/attachment/file/327/sub_Allegato_2_Profilo_Climatico_Locale_DEF_01.10.2020.pdf;2017;Same - covers entire jurisdiction and nothing else;public
337;Kota Kinabalu City Hall;Sewerage and Waste Management;2019;Same - covers entire jurisdiction and nothing else;public
338;City of Chicago, IL;https://www.chicago.gov/content/dam/city/sites/climate-action-plan/documents/CHICAGO_CAP_20220429.pdf;2022;Same - covers entire jurisdiction and nothing else;public
339;Municipality of Curitiba;"https://mid.curitiba.pr.gov.br/2014/00157293.pdf	 https://mid.curitiba.pr.gov.br/2014/00157290.pdf	 https://mid.curitiba.pr.gov.br/2014/00157286.pdf";2014;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Alto IguaÃ§u River Watershed Area;public
340;Algarrobo;Informe Riesgos Ambientales.pdf;2023;Same - covers entire jurisdiction and nothing else;public
341;Rajkot Municipal Corporation;CRCAP_Rajkot_ With Annexures.pdf;2019;Same - covers entire jurisdiction and nothing else;public
342;ParaÃ­so;BIOMATEC_ParaÃ­so_DiagnÃ³stico Cantonal Componente AdaptaciÃ³n.pdf;2022;Same - covers entire jurisdiction and nothing else;public
343;Village of Oak Park, IL;RegionalCAP_primary_and_appendices_062321-02.pdf;2022;Same - covers entire jurisdiction and nothing else;public
344;Banda Aceh City Government;https://drive.google.com/file/d/1Wq0Xb7sz1-Zq8kFwLAhRSmcMhGl-v-Ag/view?usp=sharing;2019;Same - covers entire jurisdiction and nothing else;public
345;City of Dar es Salaam;tanzania_country_climate_risk_assessment_report_-final_version.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Assessment cover the entire region;public
346;Town of Lexington, MA;Lexington_Hazard Mitigation & Climate Adaptation Plan.pdf;2019;Same - covers entire jurisdiction and nothing else;public
347;City of Windsor, ON;https://www.citywindsor.ca/residents/Construction/Environmental-Assessments-Master-Plans/Documents/East%20Riverside%20Flood%20Assessment%20and%20appendicies%20final%20Report%203Sep2019.pdf;2019;Smaller - covers only part of the jurisdiction, please explain exclusions: Covers a portion of East Windsor known to be at risk under high water levels;public
348;City of St Catharines, ON;https://stcatharines.civicweb.net/filepro/document/54422/Report%20TES-315-2017.pdf;2017;Same - covers entire jurisdiction and nothing else;public
349;City of New Orleans, LA;http://nola.gov/climateaction;2022;Same - covers entire jurisdiction and nothing else;public
350;City of Guelph, ON;34718-558 Guelph CAP Final Report 2023-07-10 final V2.0_optimized.pdf;2023;Same - covers entire jurisdiction and nothing else;public
351;City of Columbus, OH;1.FinalAdaptiveMgmtPlan.pdf;2015;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The intent was to understand the entire Central Ohio Region with an emphasis on impacts to The City of Columbus incorporated area.;public
352;Essex County Council;LUGI Technical Annex _0.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Includes Thurrock and Southend-on-Sea Councils too.;public
353;Municipality of Amsterdam; ; ; ;public
354;South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties);http://www.carlow.ie/wp-content/documents/uploads/Climate%20Change%20Adaptation%20Strategy%202019.pdf;2019;Smaller - covers only part of the jurisdiction, please explain exclusions: Southeast region is composed of 4 counties which produced the assessment individually;public
355;City of San JosÃ©, CA;https://www.sccfd.org/wp-content/uploads/documents/fire_prevention/CWPP/Annex_10_City_of_San_Jose_2017.pdf;2016;Same - covers entire jurisdiction and nothing else;public
356;District of Saanich, BC;https://www.crd.bc.ca/docs/default-source/climate-action-pdf/reports/2017-07-17_climateprojectionsforthecapitalregion_final.pdf?sfvrsn=bb9f39ca_12;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This climate projections report is downscaled to the regional district that Saanich is a member of.;public
357;City of Dar es Salaam;Policy-Paper-adapting-to-a-changing-climate-in-the-management-of-coastal-zones.pdf;2012;Same - covers entire jurisdiction and nothing else;public
358;City of Newcastle;ECM_39~1.PDF, Hunter and Central Coast Enabling Regional Adaptation.pdf, impacts of climate change on natural hazards profile 2010.pdf;2011;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: City of Newcastle partnered with state government to do the Hunter regional adaptation planning because we shared resources and have common risks.;public
359;Fuzhou Municipal People's Government; ; ;Same - covers entire jurisdiction and nothing else;public
360;Swale Borough Council;https://services.swale.gov.uk/assets/Planning%20Policy%202019/Biodiversity%20Baseline%20Study.pdf;2020;Same - covers entire jurisdiction and nothing else;public
361;Daegu Metropolitan City;2022 Climate Change Adaptation Self-Implementation Evaluation Results Reporting.pdf;2022;Same - covers entire jurisdiction and nothing else;public
362;Jakarta City Government;LAP.-KLHS-RPJMD-2018.pdf;2018;Same - covers entire jurisdiction and nothing else;public
363;Toyama City;ï¼ˆ1.1aï¼‰å¯Œå±±å¸‚ç’°å¢ƒãƒ¢ãƒ‡ãƒ«éƒ½å¸‚ç¬¬2æ¬¡è¡Œå‹•è¨ˆç”»æ”¹è¨‚æ¥­å‹™å ±å‘Šæ›¸_ä¸€éƒ¨æŠœç²‹.pdf;2018;Same - covers entire jurisdiction and nothing else;public
364;Trenggalek Regency;krb trenggalek bnpb.pdf;2016;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
365;Prefeitura do Rio de Janeiro;Megacidades.pdf;2011;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: RegiÃ£o Metropolitana do Rio de Janeiro;public
366;Prefeitura de Itapipoca;REV 03 - PRODUTO 4.2.pdf;2023;Same - covers entire jurisdiction and nothing else;public
367;City of KrakÃ³w;https://www.bip.krakow.pl/?dok_id=114317&_ga=2.169749410.2084965423.1657782782-1921638676.1657782782;2020;Same - covers entire jurisdiction and nothing else;public
368;City of Miami, FL;https://codehub.gridics.com/us/fl/ iami-comp#/ddd0ef71-a872-4a1d-8a65-2357fac0593d;2015;Same - covers entire jurisdiction and nothing else;public
369;City of Calgary, AB;Community Climate Risk Index Summary Report.pdf;2021;Same - covers entire jurisdiction and nothing else;public
370;Ayuntamiento de Hermosillo;https://www.mediafire.com/file/kwyd4dysl8d09fc/IDOM_Vulnerabilidad_HMO_20190529_S4URBA.pdf/file;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The study includes the entire municipality of Hermosillo (rural and urban areas) in the State of Sonora in Mexico, with a population of over 830,000 inhabitants in 2015.;public
371;Municipality of Matosinhos;20120928-PAES-SumÃ¡rio executivo.pdf, MEDIDAS DE EMERGÃŠNCIA ENERGÃ‰TICA PARA CIDADES (4).pdf, paesc.pdf;2021;Same - covers entire jurisdiction and nothing else;public
372;Pingtung County Government;110å¹´åº¦ã€Œå±æ±ç¸£å› æ‡‰æ°£å€™è®Šé·æš¨ç’°ä¿åœ‹éš›äº‹å‹™æŽ¨å‹•è¨ˆç•«ã€æœŸæœ«å ±å‘Š(å®šç¨¿åé»‘) å½™æ•´ç‰ˆ.pdf;2022;Same - covers entire jurisdiction and nothing else;public
373;Balikpapan City Government;[IDN] Final CRVA Report for Balikpapan City.pdf;2020;Same - covers entire jurisdiction and nothing else;public
374;City of Boulder, CO;https://assets.bouldercounty.org/wp-content/uploads/2017/03/climate-change-preparedness-plan.pdf;2012;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Prepared for Boulder County, which includes all of the City of Boulder, additional municipalities, and unincorporated areas.;public
375;Greater Amman Municipality; ;2022;Same - covers entire jurisdiction and nothing else;public
376;Greater Amman Municipality;Amman climate risk assessment report 2023;2023;Same - covers entire jurisdiction and nothing else;public
377;City of London, ON;Working Draft for June 1 2023 (2).docx;2023;Same - covers entire jurisdiction and nothing else;public
378;Municipalidad de Quilicura;PLCC Quilicura-Observaciones Asur.pdf;2019;Same - covers entire jurisdiction and nothing else;public
379;KwaDukuza;KDLM RVA Report_Final 20210503 .pdf;2021;Same - covers entire jurisdiction and nothing else;public
380;City of Tacoma, WA;http://cms.cityoftacoma.org/Sustainability/Climate_Resilience_Study_Final_2016.pdf;2016;Same - covers entire jurisdiction and nothing else;public
381;Uppsala Municipality;https://catalog.lansstyrelsen.se/store/33/resource/85;2022;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment also covers the surrounding municipalities in the region.;public
382;City of Sydney;1.1a 2015-342655-ATTACHMENT-D-Project-Report-by-RPS-and-KPMG2.pdf.pdf;2015;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: 2015;public
383;City of Kingston, ON;Climate Leadership Plan - Appendix B.pdf;2021;Same - covers entire jurisdiction and nothing else;public
384;Greater London Authority;"https://data.london.gov.uk/dataset/climate-risk-mapping	 https://data.london.gov.uk/download/climate-risk-mapping/ef3176ab-0ef0-41ae-a2b2-d0a5ff3a69af/ClimateRiskMaps_Methodology.pdf";2022;Same - covers entire jurisdiction and nothing else;public
385;Tokyo Metropolitan Government;https://www.bousai.metro.tokyo.lg.jp/_res/projects/default_project/_page_/001/000/360/202102/1.pdf;2021;Same - covers entire jurisdiction and nothing else;public
386;Lancashire County Council (City);lancashire-flood-risk-management-strategy-2021-2027-final-v2.pdf;2021;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Report covers neighbouring authorities of Blackburn with Darwen and Blackpool.;public
387;Miami-Dade, FL;/https://miami-dade-county-sea-level-rise-strategy-draft-mdc.hub.arcgis.com;2021;Same - covers entire jurisdiction and nothing else;public
388;Qingdao Municipal Government;http://www.qingdao.gov.cn/zwgk/zdgk/fgwj/zcwj/swgw/2023swgw/202305/t20230525_7201390.shtml;2023;Same - covers entire jurisdiction and nothing else;public
389;Jakarta City Government;BAPPEDA_RTRW2030.pdf, Perda No 1 Tahun 2012 RTRW2030.pdf;2012;Same - covers entire jurisdiction and nothing else;public
390;KadÄ±kÃ¶y;KM Climate adaptation Action Plan Report 2.pdf, KM Sustainable Energy Action Plan Report 1.pdf;2015;Same - covers entire jurisdiction and nothing else;public
391;Freetown City;https://documents.worldbank.org/en/publication/documents-reports/documentdetail/151281549319565369/freetown-city-hazard-and-risk-assessment-final-report;2018;Same - covers entire jurisdiction and nothing else;public
392;Municipality of Campinas;https://portal-api.campinas.sp.gov.br//sites/default/files/anexos_avulsos/Estrat%C3%A9gia%20multiescalar%20para%20SBN%20para%20Campinas_Dez_22_FINAL.pdf;2022;Same - covers entire jurisdiction and nothing else;public
393;Pingtung County Government;1.1å±æ±ç¸£æ°£å€™èˆ‡èƒ½æºæ²»ç†è©•æ¯”å ±å‘Š.pdf;2022;Same - covers entire jurisdiction and nothing else;public
394;City of Stockholm;Risk and vulnerability assessment- Consecquences of a 100- year rainfall;2018;Same - covers entire jurisdiction and nothing else;public
395;City of York Council;https://www.york.gov.uk/downloads/file/2703/2013-strategic-flood-risk-assessment;2013;Same - covers entire jurisdiction and nothing else;public
396;City of Beverly, MA;https://www.beverlyma.gov/DocumentCenter/View/364/Beverly-Coastal-Resiliency-Plan-PDF;2017;Same - covers entire jurisdiction and nothing else;public
397;City of Prague;https://adaptacepraha.cz/en/observed-and-projected-climate-change-effects-in-prague/;2017;Same - covers entire jurisdiction and nothing else;public
398;Can Tho City;Action Plan until 2030.pdf;2021;Same - covers entire jurisdiction and nothing else;public
399;Ayuntamiento de Apodaca;https://agua.org.mx/biblioteca/plan-hidrico-de-nuevo-leon-2050/;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: La bÃºsqueda no de un proyecto particular, sino de una cartera de proyectos y acciones que permita garantizar que dicho balance entre oferta y demanda se mantenga continuamente hasta 2050.;public
400;Municipalidad de CaÃ±as;PLAN_REGULADOR (1).pdf;2006;Same - covers entire jurisdiction and nothing else;public
401;City of Berkeley, CA;https://berkeleyca.gov/safety-health/disaster-preparedness/local-hazard-mitigation-plan;2019;Same - covers entire jurisdiction and nothing else;public
402;Adachi City;https://www.city.adachi.tokyo.jp/documents/35451/3-kankyokeikaku-honpen.pdf;2017;Same - covers entire jurisdiction and nothing else;public
403;Ayuntamiento de Hermosillo;1.1a PACMUN 2015 junio26 Definitivo.pdf;2015;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The study includes the entire municipality of Hermosillo (rural and urban areas) in the State of Sonora in Mexico, with a population of over 830,000 inhabitants in 2015.;public
404;Ciudad Madero;Atlas de Riesgo de Ciudad Madero, Tamaulipas;2021;Same - covers entire jurisdiction and nothing else;public
405;City Government of Makati;LCCAP Adoption_CO No. 2017-076.pdf, Makati City Local Climate Change Action Plan (LCCAP).pdf, Makati LCCAP 2019 Final-pages-34-77.pdf, Makati LCCAP Certification from CCC.pdf;2017;Same - covers entire jurisdiction and nothing else;public
406;Dire Dawa;DDA Program of Adaptation to Climate Change (Final).pdf;2010;Same - covers entire jurisdiction and nothing else;public
407;City of Hoboken, NJ;FINAL_2019_04_04 Community GHG Report.pdf, Hoboken Climate Action Plan.pdf;2019;Same - covers entire jurisdiction and nothing else;public
408;Oslo Municipality;https://www.oslo.kommune.no/getfile.php/13433175-1642068044/Tjenester%20og%20tilbud/Politikk%20og%20administrasjon/Egenberedskap/BER_Kommunalt%20Risikobilde%202021_Kortversjon_030122.pdf;2021;Same - covers entire jurisdiction and nothing else;public
409;City of BrightonÂ & Hove;Local Climate Impact Profile_headline report 2011FINAL.doc;2011;Same - covers entire jurisdiction and nothing else;public
410;City of Florence;piano d'azione-compresso.pdf;2023;Same - covers entire jurisdiction and nothing else;public
411;Alajuela;COMPENDIO DE INFORMACION DE BASE DE DATOS 1ERA Y 2DA PARTE, ANALISIS DE VULNERABILIDAD DEL CANTON;2015;Same - covers entire jurisdiction and nothing else;public
412;Montes de Oca;Evaluacion ambiental estrategica del plan regulador del canton de Montes de Oca, Parte 1.pdf;2013;Same - covers entire jurisdiction and nothing else;public
413;Ayuntamiento de Hermosillo;1.1a IMPLAN Atlas de Riesgo 20190617 REDUX.pdf;2014;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The study includes the entire municipality of Hermosillo (rural and urban areas) in the State of Sonora in Mexico, with a population of over 830,000 inhabitants in 2015.;public
414;MedellÃ­n;https://www.medellin.gov.co/irj/go/km/docs/pccdesign/medellin/Temas/GestionRiesgo/Publicaciones/Shared%20Content/Documentos/2017/sintesisPMGRD.pdf;2015;Same - covers entire jurisdiction and nothing else;public
415;Jambi City;02-kata pengantar.pdf, RAD ADAPTASI KOTA JAMBI_final.docx;2022;Same - covers entire jurisdiction and nothing else;public
416;Municipalidad Distrital de Moche; ;1999;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
417;Gobierno Municipal de Toluca de Lerdo;35 (Gaceta 22 de noviembre de 2022).pdf;2022;Same - covers entire jurisdiction and nothing else;public
418;Municipality of Mafra;https://www.cm-mafra.pt/pages/645;2016;Same - covers entire jurisdiction and nothing else;public
419;City of St Catharines, ON;https://www.stcatharines.ca/en/council-and-administration/resources/Climate-Adaption-Plan.pdf;2021;Same - covers entire jurisdiction and nothing else;public
420;Prefeitura da Cidade de SÃ£o JosÃ© do Rio Preto;Plano de ContingÃªncia da Defesa Civil - 2019.pdf;2019;Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Para o Plano de ContingÃªncia, foram identificadas e mapeadas as Ã¡reas de risco jÃ¡ canhecidas, inicialmente, possibilitando dessa maneira o monitoramento mais assertivo.;public
421;City of Edmonton, AB;https://drive.google.com/file/d/1bslnx1ZGR0yp3wXbrSlFImt4jARAHmCe/view?usp=sharing;2020;Same - covers entire jurisdiction and nothing else;public
422;City of Phoenix, AZ;https://www.phoenix.gov/oepsite/Documents/UrbanVulnerability_R9_July2020_Clean_v2.pdf;2020;Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Maricopa County and City of Phoenix;public
423;Dane County, WI;https://em.countyofdane.com/documents/pdf/2022-Hazard-Mitigation-Plan/DCNHMP22---1---DC-Section-.pdf;2022;Same - covers entire jurisdiction and nothing else;public
424;Pasaman Regency;https://drive.google.com/drive/folders/1zbo4tYN9lg3QTEbizDJS-T7d6wwQAt4a?usp=sharing;2015;Same - covers entire jurisdiction and nothing else;public
425;Gaziantep Metropolitan Municipality;Excel_SECAP (1).xlsx, GBB_SECAP_EN_Report_final.pdf;2018;Larger - covers the whole jurisdiction and adjoining areas, please explain additions;public
426;City of Boston, MA;04212022_Boston Heat Resilience Plan_Chapter6-Heat Resilience Strategies.pdf;2022;Same - covers entire jurisdiction and nothing else;public
427;City of Miami, FL;Not yet published; ;Same - covers entire jurisdiction and nothing else;public
428;City of Naga, Camarines Sur;Climate Change Vulnerability Assesment.pdf, Hazarad Assesment.pdf;2017;Same - covers entire jurisdiction and nothing else;public
429;Municipalidad de PeÃ±alolÃ©n;8. DIAGNOSTICO ESTUDIO_RIESGOS_PARTE I.pdf, 9. DIAGNOSTICO ESTUDIO RIESGO_PARTE II.pdf;2022;Same - covers entire jurisdiction and nothing else;public
430;City of Columbia, MO;https://www.como.gov/wp-content/uploads/2020/11/CoMoCAAP_VAfactsheets_BuiltEnv_final.pdf;2018;Same - covers entire jurisdiction and nothing else;public
431;Makinohara City;https://www.city.makinohara.shizuoka.jp/uploaded/attachment/40493.pdf; ;Same - covers entire jurisdiction and nothing else;public
432;City of Heidelberg;www.heidelberg.de/starkregen;2020;Same - covers entire jurisdiction and nothing else;public
433;Crespo;PLAC Crespo.pdf;2019;Same - covers entire jurisdiction and nothing else;public
